Файлы ТИ,Названия ТИ,Папка модели,Выборка,"Ср. [абс. откл. / ср. за сутки], %","Мед. [абс. откл. / ср. за сутки], %","Макс. [абс. откл. / ср. за сутки], %",Ср. абс. откл.,Макс. абс. откл.,Ср. абс. % откл.,Макс. абс. % откл.,"Ср. [абс. откл. / ср. абс. за всё время], %","Мед. [абс. откл. / ср. абс. за всё время], %","Макс. [абс. откл. / ср. абс. за всё время], %"
ТИ_972,Р л2129 ЖГРЭС-Ж500 Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/JAMBYL/220/L2129/P,Обучающая выборка,16.260707759657674,10.880713539862654,343.8280670963809,9.536734262750352,95.27471642935433,20.945528075514286,2395.582488961992,13.901796726608397,10.58040523816786,138.88294509363465
ТИ_972,Р л2129 ЖГРЭС-Ж500 Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/JAMBYL/220/L2129/P,Валидационная выборка,19.717047893083002,12.76908244296294,288.1823460850097,9.609714380389867,96.90131504947549,32.81025569990645,3577.645403946702,16.58129190892746,12.820525042381409,167.20049395777284
ТИ_972,Р л2129 ЖГРЭС-Ж500 Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/JAMBYL/220/L2129/P,Тестовая выборка,19.717047893083002,12.76908244296294,288.1823460850097,9.609714380389867,96.90131504947549,32.81025569990645,3577.645403946702,16.58129190892746,12.820525042381409,167.20049395777284
ТИ_1320,Р л2159 Жам500-НДФЗ Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/JAMBYL/220/L2159/P,Обучающая выборка,17.985792491069,13.609483140412424,121.77349282392858,9.759874940543455,78.37708438087245,23.375194903453036,709.0545687055151,18.017494398130392,11.843652632392498,144.69024320259675
ТИ_1320,Р л2159 Жам500-НДФЗ Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/JAMBYL/220/L2159/P,Валидационная выборка,21.121456160069044,10.751023143043875,198.69192314562397,2.785537007748741,30.88003754187097,23.43194844636243,308.8004024409831,18.483039442925314,10.658421757939655,204.90015041900267
ТИ_1320,Р л2159 Жам500-НДФЗ Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/JAMBYL/220/L2159/P,Тестовая выборка,21.121456160069044,10.751023143043875,198.69192314562397,2.785537007748741,30.88003754187097,23.43194844636243,308.8004024409831,18.483039442925314,10.658421757939655,204.90015041900267
ТИ_1321,Р л2169 Жам500-НДФЗ Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/JAMBYL/220/L2169/P,Обучающая выборка,4.203165169734094,2.5709825169789235,76.69648838534845,0.42488456160668137,7.062468337334427,4.321563843407953,176.5617023081652,4.11243274212112,2.5846051207467773,68.35721665390604
ТИ_1321,Р л2169 Жам500-НДФЗ Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/JAMBYL/220/L2169/P,Валидационная выборка,5.450595476825968,3.244720029830396,204.28882597038748,0.47657244728597675,21.875928527947387,5.5629951457769815,198.87206376473503,5.0800862368966975,3.266177798889211,233.1893168961877
ТИ_1321,Р л2169 Жам500-НДФЗ Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/JAMBYL/220/L2169/P,Тестовая выборка,5.450595476825968,3.244720029830396,204.28882597038748,0.47657244728597675,21.875928527947387,5.5629951457769815,198.87206376473503,5.0800862368966975,3.266177798889211,233.1893168961877
ТИ_1322,Р л2179 Жам500-НДФЗ Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/JAMBYL/220/L2179/P,Обучающая выборка,16.020036167478853,11.866376045503483,151.40790714881726,10.277785988773491,89.30416532617342,19.536432636283312,393.990919424802,16.3231554297151,11.21157619220371,141.83266442134405
ТИ_1322,Р л2179 Жам500-НДФЗ Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/JAMBYL/220/L2179/P,Валидационная выборка,19.929029959828842,14.181953326939967,206.0783586224213,10.727672845565023,133.34987124882957,27.324995740219787,655.9933435868844,19.609550458772734,11.89286386566766,243.75566505142095
ТИ_1322,Р л2179 Жам500-НДФЗ Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/JAMBYL/220/L2179/P,Тестовая выборка,19.929029959828842,14.181953326939967,206.0783586224213,10.727672845565023,133.34987124882957,27.324995740219787,655.9933435868844,19.609550458772734,11.89286386566766,243.75566505142095
ТИ_1323,Р л2189 Жам500-НДФЗ Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/JAMBYL/220/L2189/P,Обучающая выборка,19.49366640313141,17.184774238682483,115.74023644332708,17.55806200090575,80.82939897246288,24.00523970599908,1010.3677861875219,19.226870420663875,17.339338846055814,88.51184032403553
ТИ_1323,Р л2189 Жам500-НДФЗ Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/JAMBYL/220/L2189/P,Валидационная выборка,21.63364622275289,17.580375720472542,160.05025617160703,19.542924442835353,167.18583015535916,34.53012077280742,9135.731727249682,20.733572834746834,17.711277559330338,177.37159024500846
ТИ_1323,Р л2189 Жам500-НДФЗ Юг,outputs/UZHNIY/PROJECT/KAZ/UZHNIY/JAMBYL/220/L2189/P,Тестовая выборка,21.63364622275289,17.580375720472542,160.05025617160703,19.542924442835353,167.18583015535916,34.53012077280742,9135.731727249682,20.733572834746834,17.711277559330338,177.37159024500846
