ts,value
1725926400000,-172.0
1725930000000,-150.0
1725933600000,-201.0
1725937200000,-176.0
1725940800000,-144.0
1725944400000,-119.0
1725948000000,-195.0
1725951600000,-159.0
1725955200000,-184.0
1725958800000,-173.0
1725962400000,-221.0
1725966000000,-247.0
1725969600000,-241.0
1725973200000,-200.0
1725976800000,-162.0
1725980400000,-161.0
1725984000000,-181.0
1725987600000,-180.0
1725991200000,-203.0
1725994800000,-214.0
1725998400000,-167.0
1726002000000,-198.0
1726005600000,-156.0
1726009200000,-221.0
1726012800000,-199.0
1726016400000,-161.0
1726020000000,-217.0
1726023600000,-244.0
1726027200000,-268.0
1726030800000,-261.0
1726034400000,-279.0
1726038000000,-221.0
1726041600000,-221.0
1726045200000,-184.0
1726048800000,-192.0
1726052400000,-201.0
1726056000000,-228.0
1726059600000,-187.0
1726063200000,-108.0
1726066800000,-219.0
1726070400000,-222.0
1726074000000,-222.0
1726077600000,-222.0
1726081200000,-193.0
1726084800000,-234.0
1726088400000,-243.0
1726092000000,-252.0
1726095600000,-205.0
1726099200000,-187.0
1726102800000,-169.0
1726106400000,-168.0
1726110000000,-124.0
1726113600000,-252.0
1726117200000,-157.0
1726120800000,-243.0
1726124400000,-239.0
1726128000000,-239.0
1726131600000,-257.0
1726135200000,-229.0
1726138800000,-229.0
1726142400000,-246.0
1726146000000,-152.0
1726149600000,-182.0
1726153200000,-210.0
1726156800000,-217.0
1726160400000,-217.0
1726164000000,-217.0
1726167600000,-205.0
1726171200000,-203.0
1726174800000,-232.0
1726178400000,-260.0
1726182000000,-215.0
1726185600000,-202.0
1726189200000,-122.0
1726192800000,-83.0
1726196400000,-137.0
1726200000000,-244.0
1726203600000,-170.0
1726207200000,-152.0
1726210800000,-151.0
1726214400000,-240.0
1726218000000,-237.0
1726221600000,-237.0
1726225200000,-237.0
1726228800000,-237.0
1726232400000,-237.0
1726236000000,-237.0
1726239600000,-267.0
1726243200000,-276.0
1726246800000,-251.0
1726250400000,-231.0
1726254000000,-230.0
1726257600000,-228.0
1726261200000,-276.0
1726264800000,-276.0
1726268400000,-249.0
1726272000000,-247.0
1726275600000,-255.0
1726279200000,-221.0
1726282800000,-189.0
1726286400000,-261.0
1726290000000,-184.0
1726293600000,-261.0
1726297200000,-144.0
1726300800000,-144.0
1726304400000,-268.0
1726308000000,-229.0
1726311600000,-244.0
1726315200000,-275.0
1726318800000,-240.0
1726322400000,-276.0
1726326000000,-226.0
1726329600000,-255.0
1726333200000,-195.0
1726336800000,-272.0
1726340400000,-240.0
1726344000000,-270.0
1726347600000,-241.0
1726351200000,-247.0
1726354800000,-265.0
