ti_name,ti_number,model
"Уральская ТЭЦ АО ""Жайыктеплоэнерго""",1201,Ural_skaa_TEZ_AO_Jajykteploenergo
"ПГУ Уральской ТЭЦ АО ""Жайыктеплоэнерго"" ",1171,PGU_Ural_skoj_TEZ_AO_Jajykteploenergo
"ТОО ""Уральская ГТЭС""",886,TOO_Ural_skaa_GTES
"ГТЭС-200 ТОО""Батыс Пауэр""",600,GTES_200_TOOBatys_Pauer
"ГТЭС-26 ТОО""Жаикмунай""",3388,GTES_26_TOOJaikmunaj
"АО ""Жамбылская ГРЭС""",949,AO_Jambylskaa_GRES
" Жамбыльская ТЭЦ-4 АО ""Таразэнергоцентр""",957,Jambyl_skaa_TEZ_4_AO_Tarazenergozentr
ВЭС Жанатас ТОО Жанатасская ,2228,VES_Janatas_TOO_Janatasskaa
"ТЭЦ-6 ГКП ""Кызылордатеплоэлектроцентр"" ",855,TEZ_6_GKP_Kyzylordateploelektrozentr
"ТЭС ТОО ""СКЗ-U""",992,TES_TOO_SKZ_U
"СЭС ТОО ""Байкен-U""",3943,SES_TOO_Bajken_U
"Шымкентская ТЭС-3 АО ""З-Энергоорталык"" ",961,Symkentskaa_TES_3_AO_Z_Energoortalyk
"ТЭЦ-5 ГКП ""Кентау сервис"" ",3276,TEZ_5_GKP_Kentau_servis
