ts,value
1725926400000,394.0
1725930000000,338.0
1725933600000,396.0
1725937200000,354.0
1725940800000,326.0
1725944400000,330.0
1725948000000,384.0
1725951600000,331.0
1725955200000,369.0
1725958800000,362.0
1725962400000,425.0
1725966000000,468.0
1725969600000,452.0
1725973200000,392.0
1725976800000,357.0
1725980400000,364.0
1725984000000,407.0
1725987600000,433.0
1725991200000,451.0
1725994800000,506.0
1725998400000,450.0
1726002000000,494.0
1726005600000,434.0
1726009200000,468.0
1726012800000,405.0
1726016400000,340.0
1726020000000,391.0
1726023600000,402.0
1726027200000,444.0
1726030800000,471.0
1726034400000,456.0
1726038000000,403.0
1726041600000,477.0
1726045200000,389.0
1726048800000,407.0
1726052400000,418.0
1726056000000,450.0
1726059600000,416.0
1726063200000,327.0
1726066800000,471.0
1726070400000,463.0
1726074000000,576.0
1726077600000,553.0
1726081200000,479.0
1726084800000,542.0
1726088400000,555.0
1726092000000,554.0
1726095600000,477.0
1726099200000,415.0
1726102800000,368.0
1726106400000,358.0
1726110000000,287.0
1726113600000,442.0
1726117200000,358.0
1726120800000,437.0
1726124400000,418.0
1726128000000,531.0
1726131600000,456.0
1726135200000,410.0
1726138800000,404.0
1726142400000,403.0
1726146000000,314.0
1726149600000,346.0
1726153200000,383.0
1726156800000,415.0
1726160400000,546.0
1726164000000,557.0
1726167600000,483.0
1726171200000,499.0
1726174800000,547.0
1726178400000,562.0
1726182000000,479.0
1726185600000,431.0
1726189200000,309.0
1726192800000,261.0
1726196400000,322.0
1726200000000,440.0
1726203600000,391.0
1726207200000,330.0
1726210800000,312.0
1726214400000,422.0
1726218000000,433.0
1726221600000,475.0
1726225200000,486.0
1726228800000,494.0
1726232400000,508.0
1726236000000,464.0
1726239600000,447.0
1726243200000,486.0
1726246800000,479.0
1726250400000,475.0
1726254000000,516.0
1726257600000,515.0
1726261200000,565.0
1726264800000,573.0
1726268400000,492.0
1726272000000,471.0
1726275600000,440.0
1726279200000,376.0
1726282800000,327.0
1726286400000,456.0
1726290000000,373.0
1726293600000,436.0
1726297200000,316.0
1726300800000,468.0
1726304400000,482.0
1726308000000,449.0
1726311600000,471.0
1726315200000,522.0
1726318800000,457.0
1726322400000,479.0
1726326000000,431.0
1726329600000,479.0
1726333200000,394.0
1726336800000,506.0
1726340400000,509.0
1726344000000,546.0
1726347600000,513.0
1726351200000,517.0
1726354800000,502.0
